N000,歯科矯正診断料,314000110,歯科矯正診断料,1500,5543,131,940,657,684,168,51,30,11,-,-,-,-,-,-,-,-,-,-,-,101,879,747,733,204,72,43,30,18,16,-,-,-,-,-,-,-,-,-
N001,顎口腔機能診断料,314000210,顎口腔機能診断料,2300,12987,-,10,50,1010,1236,597,358,204,147,107,44,22,-,-,-,-,-,-,-,-,-,208,2284,2385,1746,1032,607,388,261,151,83,31,-,-,-,-,-,-
N002,歯科矯正管理料,314000310,歯科矯正管理料,240,326090,315,12627,24726,30977,25292,11429,6838,4223,2816,1946,976,439,159,82,-,-,-,-,-,333,12427,24323,48410,39916,28814,18638,11268,7764,5718,3335,1646,497,117,21,-,-,-,-
N003,歯科矯正セファログラム,314000410,歯科矯正セファログラム（一連につき）,300,41598,225,2197,2604,3420,3152,1426,850,516,357,270,107,59,28,26,10,-,-,-,-,168,2036,2830,5927,5516,3882,2342,1372,891,663,363,215,75,25,10,15,-,-,-
N004,模型調製,314000510,模型調製（１組につき）（平行模型）,500,18330,139,943,693,1746,1363,628,386,200,145,116,34,28,-,-,-,-,-,-,-,91,875,981,2975,2544,1808,1073,610,395,276,150,81,28,-,-,-,-,-,-
N004,模型調製,314000610,模型調製（１組につき）（予測模型）,300,5279,-,27,82,520,436,208,127,64,50,48,11,-,-,-,-,-,-,-,-,-,29,165,1032,887,640,370,239,130,93,59,34,-,-,-,-,-,-,-
N005,動的処置,314000910,動的処置（１口腔１回につき）（動的処置の開始の日又はマルチブラケット法の開始の日から起算して２年以内に行った場合（同一月内の第１回目））,250,123476,228,6427,7336,11918,8853,3721,2332,1394,943,555,280,151,50,-,-,-,-,-,-,268,6459,8224,20688,15041,11756,6801,3885,2556,1906,984,539,161,14,-,-,-,-,-
N005,動的処置,314001010,動的処置（１口腔１回につき）（動的処置の開始の日又はマルチブラケット法の開始の日から起算して２年以内に行った場合（同一月内の第２回目以降））,100,11750,14,379,310,973,913,437,237,149,128,42,27,22,-,-,-,-,-,-,-,-,278,457,1917,1799,1464,923,575,314,190,117,58,12,-,-,-,-,-,-
N005,動的処置,314001110,動的処置（１口腔１回につき）（動的処置の開始の日又はマルチブラケット法の開始の日から起算して２年を超えた後に行った場合（同一月内の第１回目））,200,97421,-,3298,11215,9633,8055,3475,1906,1308,737,587,295,76,47,57,-,-,-,-,-,-,3188,9502,12905,10709,7190,5010,3092,2072,1575,941,422,92,24,-,-,-,-,-
N005,動的処置,314001210,動的処置（１口腔１回につき）（動的処置の開始の日又はマルチブラケット法の開始の日から起算して２年を超えた後に行った場合（同一月内の第２回目以降））,100,6931,-,151,347,595,651,317,204,142,57,52,19,-,-,-,-,-,-,-,-,-,151,293,934,964,644,548,333,213,144,102,44,-,-,-,-,-,-,-
N006,印象採得,314001310,印象採得（１装置につき）（マルチブラケット装置）,40,31110,-,153,943,3559,2790,1221,682,371,293,170,77,32,14,-,-,-,-,-,-,-,159,1295,6198,4707,3294,2060,1188,772,568,308,149,57,-,-,-,-,-,-
N006,印象採得,314001410,印象採得（１装置につき）（その他の装置（印象採得が簡単なもの））,143,5117,-,215,372,462,437,176,123,59,55,30,-,10,-,-,-,-,-,-,-,-,253,323,730,617,470,290,181,101,91,41,26,-,-,-,-,-,-,-
N006,印象採得,314001510,印象採得（１装置につき）（その他の装置（印象採得が困難なもの））,265,11529,17,513,730,883,986,465,241,177,93,87,35,16,-,-,-,-,-,-,-,17,555,690,1447,1582,1061,748,425,297,203,123,74,22,-,-,-,-,-,-
N006,印象採得,314001610,印象採得（１装置につき）（その他の装置（印象採得が著しく困難なもの））,400,4690,65,882,701,391,195,55,39,16,10,-,-,-,-,-,-,-,-,-,-,44,734,583,407,230,143,60,60,27,15,-,-,-,-,-,-,-,-,-
N007,咬合採得,314001710,咬合採得（１装置につき）（簡単なもの）,70,9972,17,375,628,824,841,391,219,110,83,71,34,14,-,-,-,-,-,-,-,-,477,588,1364,1358,943,635,399,234,158,90,51,20,-,-,-,-,-,-
N007,咬合採得,314001810,咬合採得（１装置につき）（困難なもの）,140,6293,38,771,714,530,406,148,78,70,31,33,12,-,-,-,-,-,-,-,-,28,655,601,672,551,361,238,140,86,60,35,15,-,-,-,-,-,-,-
N007,咬合採得,314001910,咬合採得（１装置につき）（構成咬合）,400,464,16,92,91,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,78,80,19,16,10,10,-,-,-,-,-,-,-,-,-,-,-,-
